"","A","B","C"
"seq144",1.07297463185978e-16,0.999998619706988,1.38029301233933e-06
"seq145",4.3569312200105e-23,0.937063517958821,0.0629364820411789
"seq146",7.4362037033737e-17,0.998906307955396,0.00109369204460404
"seq147",2.9995453986528e-14,0.998934731479413,0.00106526852055745
"seq148",7.54573837822637e-14,0.999999880868651,1.19131273752609e-07
"seq149",2.54558694150607e-15,0.999995743034646,4.25696535099152e-06
"seq150",5.75325365577085e-24,0.959592748458097,0.0404072515419035
"seq151",8.75543646233335e-22,0.865736855696636,0.134263144303364
"seq152",4.27812122966002e-23,0.974642932397569,0.0253570676024306
"seq153",7.07899431892664e-07,0.0569199416675045,0.943079350433064
"seq154",7.25732735177956e-16,0.998264561634267,0.001735438365732
"seq155",3.90431476161335e-15,0.999999999858627,1.41369575427546e-10
"seq156",9.73936607815978e-13,0.71269825087604,0.287301749122986
"seq157",2.44910329700624e-14,0.999718943975195,0.000281056024780988
"seq158",8.79476000467314e-07,0.998325538131595,0.00167358239240421
"seq159",3.97804213071153e-22,0.559902144798736,0.440097855201264
"seq160",1.72874267721947e-12,0.999984380688645,1.56193096262128e-05
"seq161",6.11119094309917e-15,0.999999998934205,1.0657885434096e-09
"seq162",4.19653506224423e-19,0.999999998658507,1.34149283624911e-09
"seq163",2.44990292745901e-15,0.999925271798859,7.47282011387404e-05
"seq164",4.21534853090438e-24,0.220382007833267,0.779617992166733
"seq165",2.12910282090316e-14,0.000698155839228213,0.999301844160751
"seq166",1.01917771556656e-23,0.00293613605132044,0.99706386394868
"seq167",1.51713133734534e-22,0.999076461530772,0.000923538469228098
"seq168",2.8997547513942e-20,0.976336892095059,0.0236631079049414
"seq169",1.3148809171592e-13,0.999999998815096,1.18477200590994e-09
"seq170",5.95904658753886e-11,0.999999999940395,1.44983269206114e-14
"seq171",9.64065562242422e-12,0.990917191575169,0.00908280841519062
"seq172",2.92489821516078e-22,0.000170738606186678,0.999829261393813
"seq173",3.16121703626234e-20,0.686935136958548,0.313064863041452
"seq174",3.02037050405684e-17,0.88867070688704,0.11132929311296
"seq175",2.25158644683952e-14,0.988440314072903,0.0115596859270745
"seq176",1.17517659360904e-12,0.999960826309227,3.91736895975466e-05
"seq177",3.03561912441805e-12,0.999984623199876,1.53767970880644e-05
"seq178",7.20806826417251e-12,0.77660990964004,0.223390090352752
"seq179",8.80066478091754e-27,0.00483225923406508,0.995167740765935
"seq180",1.69014125472334e-16,0.99975075396364,0.000249246036359344
"seq181",2.11268278198474e-22,0.471733899898907,0.528266100101093
"seq182",6.03530296039728e-13,0.999998174113662,1.82588573447776e-06
"seq183",5.36365158953068e-22,0.999998331722358,1.66827764227235e-06
"seq184",2.70318852707068e-28,0.997681862690089,0.00231813730991137
"seq185",2.15388420037917e-22,0.00361018352261044,0.99638981647739
"seq186",1.24383388058223e-16,0.998393957065041,0.00160604293495924
"seq187",5.56514358390718e-14,0.999996163751073,3.83624887115993e-06
"seq188",4.22964482619284e-25,0.03441857825807,0.96558142174193
"seq189",7.87233019058149e-19,0.997075720878383,0.00292427912161697
"seq190",5.93200409064056e-17,0.76045762357987,0.23954237642013
"seq191",1.11730327896675e-26,0.999999905810392,9.41896084594681e-08
"seq192",1.89279570205866e-15,0.954762951365055,0.0452370486349427
"seq193",4.0937170955706e-15,0.000341606348995888,0.999658393651
"seq194",1.80627091505058e-07,0.999918699524529,8.11198483795624e-05
"seq195",8.63352322242384e-27,0.45000418122187,0.54999581877813
"seq196",6.48025216131988e-25,0.999186147700009,0.000813852299990574
"seq197",4.12355053934137e-15,0.864498514719628,0.135501485280368
"seq198",1.56584680248631e-20,0.960555134016902,0.0394448659830983
"seq199",9.42882977425367e-13,0.999999022932956,9.77066101269243e-07
"seq200",1.25297748637243e-06,0.964655203250526,0.0353435437719879
"seq201",3.91630381521344e-22,0.998701476292469,0.00129852370753057
"seq202",9.57104075892394e-21,0.716715561936791,0.283284438063209
"seq203",9.14113325523052e-16,0.902050193553211,0.0979498064467879
"seq204",7.55604741360941e-16,0.999638293809617,0.000361706190382345
"seq205",1.81707422224036e-24,3.47064656487805e-05,0.999965293534351
"seq206",1.73456969946641e-18,0.999936224283434,6.37757165664598e-05
"seq207",3.49545506480325e-19,0.585892294468667,0.414107705531333
"seq208",1.71627540976458e-15,0.998960431962809,0.0010395680371889
"seq209",1.91563904282704e-12,0.983432486761197,0.0165675132368872
"seq210",4.88044691701945e-13,0.0440833972114956,0.955916602788016
"seq211",1.29957973692235e-24,0.984742637466095,0.0152573625339048
"seq212",1.00582057585762e-22,0.991593523322614,0.00840647667738654
"seq213",1.04223772746636e-13,0.999999999999896,1.23062470743958e-19
"seq214",0.999999999831262,1.68738448773431e-10,3.0745952755753e-21
"seq215",1.6541770432091e-13,0.259012274640249,0.740987725359585
"seq216",0.0181438537274953,0.981640556563635,0.000215589708869947
"seq217",1.3730333321921e-13,0.102291741894432,0.897708258105431
"seq218",7.00932076843068e-18,0.999996116351097,3.88364890267307e-06
"seq219",1.04847301360835e-21,0.775330412716323,0.224669587283677
"seq220",1.79227924809581e-18,0.999999999357597,6.42403395788193e-10
"seq221",0.999999999492547,5.07386289686435e-10,6.70225230208702e-14
"seq222",3.04973145680956e-11,0.949568461838741,0.050431538130762
"seq223",2.30300171041411e-22,0.999986709198875,1.32908011248486e-05
"seq224",1.81811338591904e-21,0.833026321239903,0.166973678760096
"seq225",7.15107851417063e-25,0.317849755112572,0.682150244887428
"seq226",4.00008250048607e-08,0.998646022506527,0.00135393749264755
"seq227",1.33774957132123e-11,0.999999305842599,6.94144023492999e-07
"seq228",2.43385262237004e-19,0.011673786084588,0.988326213915412
"seq229",8.38835319715456e-20,0.999999999888347,1.11652976997237e-10
"seq230",1.24019700120578e-22,0.354246552912814,0.645753447087186
"seq231",1.26449059095627e-25,0.305189096913868,0.694810903086132
"seq232",1.22820213373975e-12,0.999969147467166,3.08525316056098e-05
"seq233",1.10693434932598e-14,0.999997854586352,2.14541363638652e-06
"seq234",5.57885192230716e-22,0.94827247278086,0.05172752721914
"seq235",4.35261586329171e-31,0.999999380489173,6.19510827233512e-07
"seq236",4.71049337343593e-18,0.999998794358187,1.20564181340494e-06
"seq237",6.58288028380601e-15,0.999999999999993,1.04277604544618e-18
"seq238",1.14237839744341e-16,0.999254481697275,0.000745518302724486
"seq239",1.36237952052216e-20,0.296363206070181,0.703636793929819
"seq240",8.31829896453423e-16,0.363379377557937,0.636620622442062
"seq241",2.1256398474255e-10,0.999999997902262,1.88517374600236e-09
"seq242",1,1.29480287452228e-16,1.30826504708893e-17
"seq243",7.35559660933332e-19,0.992430096999419,0.00756990300058093
"seq244",1.19696195094424e-14,0.999821589308903,0.000178410691084836
"seq245",1.31696850673983e-17,0.000772926086345299,0.999227073913655
"seq246",2.7976846311332e-17,0.999995419340693,4.58065930654878e-06
"seq247",6.53233669801841e-13,0.999999460729107,5.39270240158144e-07
"seq248",8.66441826596229e-19,0.491460809559904,0.508539190440096
"seq249",6.02249567245321e-28,3.47479078319863e-05,0.999965252092168
"seq250",1,2.25320986297814e-19,3.17332947716714e-24
"seq251",6.1869110940796e-16,0.507021528201828,0.492978471798172
"seq252",1.61372043740536e-20,0.173596167482945,0.826403832517055
"seq253",1.38855629811087e-23,0.991826062764784,0.00817393723521631
"seq254",0.999999999983052,1.69478006639368e-11,1.83050883331005e-20
"seq255",1.10556437937951e-21,0.186549085533622,0.813450914466378
"seq256",3.11912729997888e-19,0.999999992686558,7.31344179356502e-09
"seq257",1.59084591741632e-22,0.990558529541504,0.00944147045849614
"seq258",7.05463036634856e-30,8.03490074158074e-06,0.999991965099258
"seq259",1.10025715785607e-24,5.21990937466149e-06,0.999994780090625
"seq260",7.91927310860097e-09,0.875101360822674,0.124898631258053
"seq261",4.22875479277784e-22,0.997374839060683,0.00262516093931716
"seq262",1.22955134396889e-24,0.999998524747577,1.47525242323626e-06
"seq263",6.21723176553364e-16,0.999971094171125,2.8905828874032e-05
"seq264",2.8134437323287e-12,0.999967833135006,3.21668621806282e-05
"seq265",1.90444053267276e-17,0.998987582892992,0.00101241710700827
"seq266",5.31933961773712e-18,1.67271939203501e-05,0.99998327280608
"seq267",2.88207891579263e-19,3.22963774297224e-09,0.999999996770362
"seq268",1,2.11124391308522e-16,3.66619620409624e-20
"seq269",6.02285025503642e-23,0.102052721090715,0.897947278909285
"seq270",4.06565191867724e-26,0.017440781034786,0.982559218965214
"seq271",1.86570413966983e-20,0.0998145020036955,0.900185497996305
"seq272",7.40955228421887e-22,1.90004311795926e-05,0.99998099956882
"seq273",3.94784812118209e-08,0.999999960521519,5.09001271234101e-17
"seq274",1.10731777471221e-25,0.830107775929923,0.169892224070077
"seq275",2.90290090957724e-15,0.98480891168332,0.0151910883166768
"seq276",3.57891390869847e-12,0.999983894311069,1.61056853517351e-05
"seq277",3.71717369570605e-11,0.999999831088936,1.68873892453761e-07
"seq278",2.26599179899265e-13,0.999997472238124,2.52776164898325e-06
"seq279",4.52480923448975e-16,0.00951656739163034,0.990483432608369
"seq280",1.16626012998457e-23,0.0203479580526109,0.979652041947389
"seq281",4.6011747918154e-21,0.725041369777536,0.274958630222464
"seq282",4.75911210597585e-11,0.999991392037824,8.60791458463136e-06
"seq283",1.40946819891703e-18,0.995847055771777,0.00415294422822272
"seq284",4.65122715855737e-25,0.000172391093641941,0.999827608906358
"seq285",1.21402580687691e-19,0.970814790428741,0.0291852095712586
"seq286",0.0223640545413852,0.976998205049472,0.000637740409142295
"seq287",1.1871895722169e-11,0.994048335939454,0.00595166404867403
"seq288",5.85601659414436e-24,0.961915692322825,0.0380843076771754
"seq289",2.4474048632226e-19,0.98496796803213,0.01503203196787
"seq290",1.75199575521711e-23,1,4.31637088154538e-18
"seq291",1.87762079298633e-22,0.983120211493872,0.0168797885061276
"seq292",3.90326342277555e-22,0.414878164213184,0.585121835786816
"seq293",1.24539023161632e-18,0.999956278695935,4.37213040649058e-05
"seq294",1.10803616558929e-16,0.999998650771182,1.34922881749134e-06
"seq295",3.58480492404795e-19,0.999950398142558,4.96018574424627e-05
"seq296",3.57836026404256e-13,0.998637781512565,0.00136221848707756
"seq297",5.66908124867945e-15,0.99998517311478,1.48268852144288e-05
"seq298",1.07084354669891e-20,0.676040749301522,0.323959250698478
"seq299",2.38166637361302e-23,0.387077555480714,0.612922444519286
"seq300",1.87463315681338e-20,0.958188663443879,0.0418113365561211
"seq301",2.09317009893217e-24,9.06475579709307e-05,0.999909352442029
"seq302",2.25062129860121e-21,0.99999999433268,5.66731972609026e-09
"seq303",3.5370825652544e-17,0.0598952172233162,0.940104782776684
"seq304",1.05550669398056e-18,0.998181590117908,0.00181840988209195
"seq305",4.96197365514245e-20,0.933149580812785,0.0668504191872145
"seq306",1.52202775931486e-19,0.998215513104914,0.00178448689508596
"seq307",4.5127039056497e-19,0.998221943884699,0.00177805611530073
"seq308",1,5.43865209356221e-18,1.44884175580695e-18
"seq309",1.41956033605733e-16,0.992981414357821,0.00701858564217913
"seq310",0.770322911234509,0.2296770887653,1.91157376371902e-13
"seq311",2.29588712174943e-28,0.0255612606167252,0.974438739383275
"seq312",8.42137751898183e-05,0.994138313977131,0.00577747224767858
"seq313",3.67653084995504e-16,0.870837194477171,0.129162805522828
"seq314",1.49136276598502e-14,0.999689280127864,0.000310719872121019
"seq315",1.26979748210277e-13,0.963617794948397,0.0363822050514754
"seq316",2.14752143132919e-16,0.878413491037692,0.121586508962308
"seq317",0.0123359423534132,0.987664057646506,8.10652783419832e-14
"seq318",4.44155675150295e-15,0.999996237877571,3.76212242417798e-06
"seq319",2.68092812124348e-21,0.37326213328168,0.62673786671832
"seq320",2.64374564879243e-11,0.997758361958512,0.00224163801505097
"seq321",3.19927707778607e-08,0.999979953220207,2.00147870218401e-05
"seq322",0.999999999999024,9.75584241519632e-13,1.46142888039708e-20
"seq323",6.61161851649806e-27,0.975406917882707,0.0245930821172932
"seq324",8.86770021940673e-21,0.999996132467617,3.86753238257665e-06
"seq325",1.81094996062836e-13,0.999957501531544,4.24984682753516e-05
"seq326",1.11725833368251e-11,0.975503866207745,0.0244961337810827
"seq327",6.04393799624332e-15,0.999999999999994,4.88382239284499e-21
"seq328",1.95953794706935e-26,0.933484361585702,0.0665156384142978
"seq329",1.77598822944795e-20,0.44080412583086,0.55919587416914
"seq330",1.53657800663645e-12,0.825691218587592,0.174308781410871
"seq331",1.42429762240541e-17,0.905945542829323,0.0940544571706772
"seq332",1.76506368318137e-09,0.0140200095501451,0.985979988684791
"seq333",3.42347652037925e-17,0.915380619231208,0.0846193807687924
"seq334",2.1009636838e-18,0.985698475107482,0.0143015248925179
"seq335",2.23085229343213e-24,0.0975744874342584,0.902425512565742
"seq336",1,1.0603307665621e-17,4.6725942839336e-20
"seq337",2.93140382866578e-21,0.0400831042854597,0.95991689571454
"seq338",1.47751645496674e-16,0.999984372711798,1.56272882022874e-05
"seq339",5.26084746806177e-12,0.975090424553757,0.0249095754409825
"seq340",1.63425727764162e-18,0.473081235451666,0.526918764548334
"seq341",1.48219322292828e-14,0.96705829092762,0.0329417090723647
"seq342",6.75319802512565e-19,0.963286940389751,0.036713059610249
"seq343",2.1985211511965e-22,0.786088103710903,0.213911896289097
"seq344",4.55640699389613e-08,0.999999946704577,7.73135292189628e-09
"seq345",5.42584061128386e-24,0.454255331432008,0.545744668567992
"seq346",1.74786521091322e-17,0.999979794875353,2.02051246469423e-05
"seq347",8.21575781332532e-16,0.999999971712816,2.82871830793358e-08
"seq348",2.15202118424702e-12,0.989786229750197,0.0102137702476506
"seq349",2.9647548090317e-18,0.884202794584963,0.115797205415037
"seq350",6.55962483139082e-11,0.942317120932529,0.0576828790018746
"seq351",2.35589089760385e-13,0.999972920958209,2.70790415556629e-05
"seq352",2.3416510569334e-24,0.596175258030797,0.403824741969203
"seq353",2.21578548027957e-18,0.0444018740228069,0.955598125977193
"seq354",4.41598124982476e-16,0.999902523350194,9.74766498055004e-05
"seq355",1.16472495279862e-21,2.02904093408972e-05,0.999979709590659
"seq356",6.47833784106982e-31,4.09459608423473e-05,0.999959054039158
"seq357",1.17268967909585e-07,0.999999882731028,4.51423000682797e-15
"seq358",5.18047244892319e-20,0.948629361789867,0.0513706382101334
"seq359",1.44259977689976e-09,0.999996074763066,3.92379433448956e-06
"seq360",7.6030273099357e-20,0.990281671839638,0.00971832816036193
"seq361",1.59834841525988e-17,0.999999727178313,2.72821686662092e-07
"seq362",4.49350413896698e-15,0.999972274904937,2.77250950585166e-05
"seq363",4.38879019620366e-22,0.0312806364165883,0.968719363583412
"seq364",1.91996850045998e-10,0.999966590984613,3.34088233900582e-05
"seq365",2.94740516946621e-16,0.999999992830413,7.16958693225213e-09
"seq366",3.13456904464532e-14,0.991701896867526,0.0082981031324426
"seq367",4.99838538234364e-16,0.999232933825425,0.00076706617457482
"seq368",3.98646352142625e-17,0.948889222660555,0.0511107773394449
"seq369",3.96827311096618e-21,0.993978855857212,0.0060211441427878
"seq370",3.09198360692326e-18,0.998361032418636,0.00163896758136364
"seq371",3.32454626988607e-13,0.999986047443593,1.3952556074751e-05
"seq372",8.40179794450039e-24,0.999727295677777,0.00027270432222308
"seq373",2.40592636585017e-24,0.0181580454514577,0.981841954548542
"seq374",5.43681685474445e-17,0.999999795268845,2.04731154817934e-07
"seq375",1,1.39182363621167e-18,2.26831957905326e-23
"seq376",2.7306274336649e-23,0.0237460622843568,0.976253937715643
"seq377",9.28843027828409e-20,0.940691901328701,0.0593080986712989
"seq378",1.40058306402866e-27,6.32051247806068e-06,0.999993679487522
"seq379",6.37426007787985e-16,0.999999407292287,5.92707712829204e-07
"seq380",8.99462736879372e-25,0.999975391800391,2.46081996088215e-05
"seq381",2.27953892003364e-24,0.996082575927121,0.00391742407287942
"seq382",1.33332473176445e-24,0.000595485883932864,0.999404514116067
"seq383",3.11152246329908e-12,0.999999222717799,7.77279089497394e-07
"seq384",1.34955965275911e-06,0.999998650440341,5.97976931624567e-15
"seq385",3.61599830012798e-16,0.999999940902699,5.90973008961658e-08
"seq386",4.58612108649214e-11,0.999869135830376,0.000130864123762783
"seq387",7.60387294545468e-20,0.419865394480202,0.580134605519798
"seq388",5.44938969089497e-14,0.999974943557744,2.50564422019011e-05
"seq389",1.75908851447364e-14,0.999990439267668,9.56073231436365e-06
"seq390",2.78236903804658e-18,0.999956683328808,4.33166711923348e-05
"seq391",5.37578886186025e-13,0.999996390201533,3.60979792932334e-06
"seq392",2.19437635127857e-23,0.99746722132221,0.00253277867778977
"seq393",1.18231329515954e-12,0.999994919874395,5.0801244227819e-06
"seq394",8.40118246536375e-24,0.0598462725142888,0.940153727485711
"seq395",3.80733307139789e-16,0.992548001408493,0.00745199859150672
"seq396",1.28496879392153e-20,0.921709344869567,0.0782906551304333
"seq397",2.86057470194702e-18,0.999999999948004,5.19961230064784e-11
"seq398",7.9596020529445e-19,0.999999890758617,1.0924138318779e-07
"seq399",1.84314412730505e-20,0.577009523036906,0.422990476963094
"seq400",2.40156716265051e-12,0.756283180582033,0.243716819415566
"seq401",1.14544686043252e-18,0.362399960180892,0.637600039819108
"seq402",0.000243930304073803,0.999750765588738,5.30410718802382e-06
"seq403",4.23827060048144e-15,0.959729984777269,0.0402700152227265
"seq404",9.17306902934617e-13,0.999999757869722,2.42129360960138e-07
"seq405",3.41401993258137e-20,0.358019929056691,0.641980070943309
"seq406",2.09889730461348e-14,0.998487403037905,0.00151259696207362
"seq407",1.43808520858704e-15,0.999999953079483,4.6920516002735e-08
"seq408",3.79054858837539e-17,0.547668963197452,0.452331036802548
"seq409",1.50952288052193e-13,0.626549077335693,0.373450922664156
"seq410",4.22438124628514e-24,0.998955073714644,0.00104492628535567
"seq411",4.13830312693565e-13,0.997185206998868,0.00281479300071818
"seq412",3.77382783076975e-16,0.999996822425917,3.17757408219262e-06
"seq413",5.5659118803577e-24,0.00808891407265638,0.991911085927344
"seq414",1.92548770652838e-20,0.00267830066545153,0.997321699334549
"seq415",1.36419298606445e-17,0.0557692391434647,0.944230760856535
"seq416",3.1432403075105e-09,0.998766163491082,0.0012338333656773
"seq417",8.37920765383405e-15,0.999994972820077,5.02717991466811e-06
"seq418",9.19696765719948e-14,0.999889668933593,0.000110331066314785
"seq419",7.18629756310544e-16,0.999649725278035,0.000350274721964149
